"Level","Area","Mean","Lower","Upper","Country","Indicator","Age_Group","Sex"
0,"Angola",27.3,22.8,31.4,"Angola","ART coverage","0-14","Male"
1,"Bengo",17.2,7.9,30.8,"Angola","ART coverage","0-14","Male"
1,"Benguela",28.1,13.7,45,"Angola","ART coverage","0-14","Male"
1,"Bié",14,6.8,24.5,"Angola","ART coverage","0-14","Male"
1,"Cabinda",18,10.2,28.5,"Angola","ART coverage","0-14","Male"
1,"Cuando Cubango",26.9,15,42,"Angola","ART coverage","0-14","Male"
1,"Cuanza Norte",42,21.1,66.3,"Angola","ART coverage","0-14","Male"
1,"Cuanza Sul",34.1,15.9,55.1,"Angola","ART coverage","0-14","Male"
1,"Cunene",24.5,12.9,39.7,"Angola","ART coverage","0-14","Male"
1,"Huambo",33.7,14.9,58,"Angola","ART coverage","0-14","Male"
1,"Huíla",24.2,11.7,40.1,"Angola","ART coverage","0-14","Male"
1,"Luanda",22.9,13.4,34.6,"Angola","ART coverage","0-14","Male"
1,"Lunda Norte",39.8,21.9,59.8,"Angola","ART coverage","0-14","Male"
1,"Lunda Sul",32.6,14.9,55.4,"Angola","ART coverage","0-14","Male"
1,"Malanje",17,7.3,30.9,"Angola","ART coverage","0-14","Male"
1,"Moxico",32.6,18.3,49.3,"Angola","ART coverage","0-14","Male"
1,"Namibe",26.5,13.5,41.8,"Angola","ART coverage","0-14","Male"
1,"Uíge",26.1,10.5,47.7,"Angola","ART coverage","0-14","Male"
1,"Zaire",21.1,11.5,33.7,"Angola","ART coverage","0-14","Male"
0,"Niger",41.4,27.4,57.1,"Niger","ART coverage","0-14","Male"
1,"Agadez",41.6,26.9,58.3,"Niger","ART coverage","0-14","Male"
1,"Diffa",41.8,27.4,58.6,"Niger","ART coverage","0-14","Male"
1,"Dosso",41.2,25.8,59.1,"Niger","ART coverage","0-14","Male"
1,"Maradi",41.9,27,58.1,"Niger","ART coverage","0-14","Male"
1,"Niamey",42.1,27.4,57.4,"Niger","ART coverage","0-14","Male"
1,"Tahoua",40.5,26,56.9,"Niger","ART coverage","0-14","Male"
1,"Tillaberi",41.1,26.2,57.2,"Niger","ART coverage","0-14","Male"
1,"Zinder",40.9,26.6,56.9,"Niger","ART coverage","0-14","Male"
0,"Angola",0.2,0.2,0.2,"Angola","HIV prevalence","0-14","Male"
1,"Bengo",0.1,0.1,0.2,"Angola","HIV prevalence","0-14","Male"
1,"Benguela",0.2,0.1,0.4,"Angola","HIV prevalence","0-14","Male"
1,"Bié",0.1,0.1,0.3,"Angola","HIV prevalence","0-14","Male"
1,"Cabinda",0.1,0.1,0.2,"Angola","HIV prevalence","0-14","Male"
1,"Cuando Cubango",0.4,0.3,0.7,"Angola","HIV prevalence","0-14","Male"
1,"Cuanza Norte",0.5,0.3,1,"Angola","HIV prevalence","0-14","Male"
1,"Cuanza Sul",0.1,0.1,0.2,"Angola","HIV prevalence","0-14","Male"
1,"Cunene",0.4,0.2,0.7,"Angola","HIV prevalence","0-14","Male"
1,"Huambo",0.1,0.1,0.2,"Angola","HIV prevalence","0-14","Male"
1,"Huíla",0.1,0.1,0.2,"Angola","HIV prevalence","0-14","Male"
1,"Luanda",0.2,0.1,0.4,"Angola","HIV prevalence","0-14","Male"
1,"Lunda Norte",0.4,0.3,0.7,"Angola","HIV prevalence","0-14","Male"
1,"Lunda Sul",0.5,0.3,1,"Angola","HIV prevalence","0-14","Male"
1,"Malanje",0.2,0.1,0.3,"Angola","HIV prevalence","0-14","Male"
1,"Moxico",0.4,0.2,0.6,"Angola","HIV prevalence","0-14","Male"
1,"Namibe",0.2,0.1,0.3,"Angola","HIV prevalence","0-14","Male"
1,"Uíge",0.1,0,0.1,"Angola","HIV prevalence","0-14","Male"
1,"Zaire",0.1,0,0.1,"Angola","HIV prevalence","0-14","Male"
0,"Niger",0,0,0,"Niger","HIV prevalence","0-14","Male"
1,"Agadez",0,0,0.1,"Niger","HIV prevalence","0-14","Male"
1,"Diffa",0,0,0.1,"Niger","HIV prevalence","0-14","Male"
1,"Dosso",0,0,0,"Niger","HIV prevalence","0-14","Male"
